Product Name,Supplier Name
2020 POTATO CHIPS,RR FOODS
PARLE-G NEW 12.5EXTR-10RS,A SQUARE MARKETING
MEAL MEKER 200G MG,BAJAR ITEM
PARLE-G 12.5-5RS,A SQUARE MARKETING
COMB -10RS,MEENAAKSHI ENTERPRISES
BANGLES COLOUR-30RS,RSM POOJA ITEMS
SATHA PATTAI 10GM,BAJAR ITEM
CHITHTHI VEETTU MURUKU,CHITHTHI VEETTU MURUKU
RED KARAMANI 200GM,BAJAR ITEM
RIN BAR RS.20,AMMAN ENTERPRISE
PATTANI 200G MG,BAJAR ITEM
DABUR RED PASTE 36G,VINAYAGA&Co
PARRYS AMRIT BROWN SUGAR-500GMS,K R MARKETING
NAPHTHALENE BALLS,SMILE INDIA
SAKTHI TURMERIC POWDER-100GMS,SUNSEENU MARKETING
FLAIR GLASS GEL,A.S AGENCIES
CORN CHIPS-200GMS,BAJAR ITEM
MILKY MIST CURD NEW-500GMS,CHENNIMALAI AGENCIES
DURGA BABY SPOON,SUNSHINE STEELS
L.G.ASAFOETIDA POWDER 20 EXTRA,T.P.ANNAPOORANI ENTERPRISES
SURUL PATTAI 25G MG,JHONSON MASALA
LONG CHILLLY 500G MG,BAJAR ITEM
NAGA RAVA-1KGS,J.S.AGECIES
SAKTHI CHILLI POWDER-50GMS,SUNSEENU MARKETING
HAIR BAND-15 PEARL,GAYATHRI JEWELLERS
BIG MUSTARD 200G MG,BAJAR ITEM
SRILALITHA IDLY RAVA-1KGS,ANNA LAKSHMI STORES
HAMSA RAW RICE-1KGS,BAJAR ITEM
BRITANNIA NUTRI CHOICE DIGESTIVE-50GMS,R.K.MARKETING
SAMSUNG 1421 TOWEL,SHIV SHAKTHI BELT HOUSE
UDTHAIYAM MOONG DHALL-1KGS,SHRI LAKSHMI AGRO FOODS Pvt Ltd
HAIR BAND-8 BLACK,BAJAR ITEM
PEPPER SEED 50G MG,BAJAR ITEM
VILAKU THIRI RS 5,BAJAR ITEM
KITCHEN TOWEL BIG,BAJAR ITEM
CLOVE 10G MG,BAJAR ITEM
LG ASAFOETIDA POWDER-50GMS,T.P.ANNAPOORANI ENTERPRISES
AGMARK THANGAM GINGELLY OIL-500MLT,SRI ANNAPOORANI AGENCIES
VIM BAR NEEM CLEAN,AMMAN ENTERPRISES COOM ENTERPRISE
SAMPRADAYAM SAMBRANI -7RS,SRI ARULJOTHI SUPER STORE
PEPPER SEED 200G MG,BAJAR ITEM
RIN MATIC TOP LOAD 1LIT,AMMAN ENTERPRISE
CHART BLUE,STAR STATIONERIES
PARACHUTE COCONUT OIL B-100MLT,BAJAR ITEM
CAMLIN WRITING KIT RS.20,VIJAY ENTERPRISES
SCOTCH BRITE COBI SCRUB45,INDRA AGENCIES
MONACO CRISPY-10RS,A SQUARE MARKETING
LAYS SWEET CHILLI -52GMS,SHRI THENANDAL ENTERPRISES
DAIRY MILK ROAST ALMOND-55RS,SAKTHI AGENCIES MT
KRISHNA GRAM FLOUR-500GMS,KRISHNA BHAVAN FOODS AND SWEETS
MY SORE SANDEL SOAP-125GMS,SAANVIHA ENTERPRISES
TISSUE SCRUBBER,ROYAL MARKETING
IDLY RICE IR-20 5KG MG,BAJAR ITEM
MOI COVER,KAVITHA BAG HOUSE
KRISHNA IDIYAPPAM FLOUR-500GMS,KRISHNA BHAVAN FOODS AND SWEETS
SIVAJI KING-1KGS,BAJAR ITEM
FOOD CONTAINER RS.3,BEST MARKETING
SCOTCH BRITE COBI SCRUB,INDRA AGENCIES
SIVAJI BOILED RICE 10KG,SELVANAMPI
STICK HOOK,P.R.T.&Co
WHITE KARAMANI 200GM MG,BAJAR ITEM
ANNACHI POO 10G,BAJAR ITEM
BAT APPALAM 200G MG,BAJAR ITEM
CONTINENTAL-10RS,VIJAY MARKETING
FLAIR YOLO PEN,A.S AGENCIES
DURACELL AA BATTERY-1PCS,SRI MAHALAKSHMI TRADERS
SUNFEAST MARIE LIGHT,NANDHINI TRADE
MALKIST CHEESE-130GMS,PALANI STORE
SPLIT ORID DHALL 200G,BAJAR ITEM
BADAM 200GM MG,BAJAR ITEM
3 ROSES 100G,AMMAN ENTERPRISES COOM ENTERPRISE
NOI PACHAI RICE-1KGS,BAJAR ITEM
MAGUDAM BOILED RICE-5KGS,SREE MUTHUKUMARAN MORDEN RICE MILL
OMAM 50G,BAJAR ITEM
RAGI 500G MG,BAJAR ITEM
MANTRA GROUNDUT OIL-1MLT,ARCHANA TRADING
POULAR APPALAM -70GMS,T.A.V PRODUCTS Pvt Ltd
MANGALDEEP SAMBRANI,NANDHINI TRADE
MY SORE SANDEL SOAP-150GMS,SAANVIHA ENTERPRISES
SURF EXCEL STAIN ERASER RS 10,AMMAN ENTERPRISE
DHANIYA MG-1KGS,BAJAR ITEM
SURF EXCEL STAIN ERASER BAR RS 20,AMMAN ENTERPRISE
SAFETY PIN 5,NEW DEV TRADERS
KRISHNA RAGI FLOUR-500GMS,KRISHNA BHAVAN FOODS AND SWEETS
BLACK ORID DHALL 500G,BAJAR ITEM
GRB GHEE JAR-200MLT,INDRA AGENCIES
CAMLIN 0.7 LEADS,VIJAY ENTERPRISES
DAIRY MILK NEW-5RS,SAKTHI AGENCIES MT
DAIRY MILK-5RS,MURUGAN STORES
MAGGI 2 IN 1 MINUTE 60,SRI JAYALAKSHMI ENTERPRISE
AASHIRVAAD ATTA 2 KG,NANDHINI TRADE
AACHI KULAMBU CHILLI-100GMS,AMMAN AGENCIES
CADBURY GEMS NEW-5RS,SAKTHI AGENCIES MT
CINTHOL ORIGINAL-150GMS,IRAIVI ENTERPRISES
LG ASOFOETIDA POWDER-100GMS,T.P.ANNAPOORANI ENTERPRISES
HAIR BAND -10RS,GAYATHRI JEWELLERS
EXO BAR-300GMS,KAVITHA ENTERPEISES
SURF EXCEL BAR 90GM-10RS,AMMAN ENTERPRISES COOM ENTERPRISE
2020 SNACKS 150G,RR FOODS
7UP NIMLOOZ-125MLT,ESWARI ENTERPRISES
PRIL LIQUID LIMEE-425MLT,MASHAL ENTERPRISES
KETTI AVAL-500GMS,BAJAR ITEM
SPILT CASHEW 200GM,BHUVANESWARI TRADER
GODREJ FAB LIQUID DETERGENTL-4LTR,IRAIVI ENTERPRISES
MAP INDIA STATE POLITICAL,STAR STATIONERIES
NARASUS COFFEE GRAND 2 RS,SRI NARASUS COFFEE Pvt Ltd
JAVARISI MG-200GMS,BAJAR ITEM
DURGA TEA SPOON,SUNSHINE STEELS
EYETEX PALLAVI KUMKUM12,GAYATHRI JEWELLERS
BANGLES-25RS,RSM POOJA ITEMS
WHITE MOCHAI 200G,BAJAR ITEM
FLAIR INKP CARTRIDGE,A.S AGENCIES
PITAMBARI DRAIN CLEAR-50GMS,A.S AGENCIES
AMIRTHAM JAGGERY POWDER 500G,T.P.ANNAPOORANI ENTERPRISES
BRIT 5050 SS10,R.K.MARKETING
TOP RAMEN NOODLES -60GMS,SRI ANNAPOORANI AGENCIES
DARK RED KUMKUMAM-40GMS,RSM POOJA ITEMS
GOOREJ POEDER PAKAET TANGY-10GMS,IRAIVI ENTERPRISES
HARPIC DRAIN CLEAN POWDER,CHENNIMALAIAPPA ENTERPRISE
RED KARAMANI 500 GM,BAJAR ITEM
PAKKU MATTAI BIG,BEST MARKETING
KALPASI MG -25GMS,BAJAR ITEM
MAAZA-150MLT,AKS GENERAL STORES
SRT GINGER OIL 1 L,SRI RAGAVENDRA TRADERS
GOPURAM RANGOLI POWDER -1KGS,RSM POOJA ITEMS
5 STAR NEW-5RS,SAKTHI AGENCIES MT
PISTA 100GM,BAJAR ITEM
TAMARIND-1KG MG,BAJAR ITEM
MILKY BAR CHOO STRAWBERRY -5RS,SRI JAYALAKSHMI ENTERPRISE
UDHAIYAM IDLY RICE-1KGS,BAJAR ITEM
NESCAFE SUNRISE 150.00,SRI JAYALAKSHMI ENTERPRISE
CLASSMATE UNRULED NOTE -1PCS,GR ENTERPRISESS
KOLLU 200 GM,BAJAR ITEM
WOOD STICK,SMILE INDIA
SPLIT BLACK ORID DAL 500G,BAJAR ITEM
DRY GRAPES 200GM MG,BAJAR ITEM
PERK-5RS,SAKTHI AGENCIES MT
NATRAJ LUCK KIT15,STAR STATIONERIES
MANJAL KUNKUMAM COMBO,BAJAR ITEM
KPN GROUNDNUT CHIKKI,GUHAN AGENCY
VVD GOLD COCONUT OIL-100MLT,KAVITHA ENTERPEISES
BRITANNIA BOURBON BISCUITS-100GMS,R.K.MARKETING
AVON SAUCER,BAJAR ITEM
SANTOOR TOTAL SKIN CARE-100GMS,ARCHANA TRADING
BUDS RS.10,MEENAAKSHI ENTERPRISES
HAMMAM-43GMS,AMMAN ENTERPRISES COOM ENTERPRISE
BRITANNIA NUTRI CHOICE-66GMS,R.K.MARKETING
POUPULAR APPALAM-80GMS,T.A.V PRODUCTS Pvt Ltd
PULPY ORANGE 250 ML,AKS GENERAL STORES
HARPIC POWER PLUS-900MLT,CHENNIMALAIAPPA ENTERPRISE
