S.No,Barcode,Product Name,Quantity,Stock Value,Profit,Profit %,Supplier Name,Category,Sales Rank
83,54104,DELIVERY BILL CHARGE-30RS,564.0,16920.0,0.0,0.0,MURUGAN STORES,Others,83
84,1707,MY SORE SANDEL SOAP-75GMS,556.0,22417.92,1323.32,5.9,SAANVIHA ENTERPRISES,Personal Care - Soap,84
85,19167,SURF EXCEL BAR 150G,552.0,10598.4,664.8,6.27,AMMAN ENTERPRISES COOM ENTERPRISE,Others,85
86,2522,HARPIC POWER PLUS-500MLT,549.0,57974.4,4720.7,8.14,CHENNIMALAIAPPA ENTERPRISE,Others,86
87,64995,NESTLE MUNCH NEW-10RS,529.0,5078.4,362.97,7.15,SRI JAYALAKSHMI ENTERPRISE,Others,87
88,12698,PARLE HIDE&SEEK BISCUITE-100GMS,523.0,15062.4,2866.62,19.03,A SQUARE MARKETING,Snacks - Biscuits & Cookies,88
89,14221,BOURBORN 50G,516.0,4953.6,545.64,11.02,R.K.MARKETING,Others,89
90,12361,JEERAGAM 200G MG,512.0,43553.0,10870.7,24.96,BHUVANESWARI TRADER,Others,90
91,17410,FRUITY CANDY MUTTAI,509.0,11707.0,4581.0,39.13,GUHAN AGENCY,Sweets & Confectionery,91
92,13447,TAMARIND 200GMS,508.0,24892.0,4622.8,18.57,BAJAR ITEM,Others,92
93,12662,DRY GRAPES 100G MG,504.0,24948.0,7222.1,28.95,BAJAR ITEM,Others,93
94,12096,GREEN MOONG DHALL 200GM,495.0,15840.0,4197.6,26.5,BAJAR ITEM,Staples - Pulses,94
95,62049,FOOD CONTAINER6,493.0,2958.0,1380.4,46.67,BEST MARKETING,Others,95
96,41203,LIFEBOY SOAP37,491.0,19766.4,1273.94,6.44,AMMAN ENTERPRISE,Personal Care - Soap,96
97,12759,ELAKKAI 10G MG,491.0,24059.0,7148.96,29.71,BAJAR ITEM,Others,97
98,7222,SURF EXCEL BAR-10RS,490.0,4704.0,210.7,4.48,AMMAN ENTERPRISES COOM ENTERPRISE,Others,98
99,4118,BINDI -12RS,489.0,5868.0,2909.0,49.57,GAYATHRI JEWELLERS,Others,99
100,2847,NESCAFE SUNRISE RS2-12PCS,483.0,11244.24,534.78,4.76,SRI JAYALAKSHMI ENTERPRISE,Others,100
101,12138,BADAM 100GM MG,481.0,57239.0,14814.8,25.88,BAJAR ITEM,Others,101
102,12611,VENTHAYAM 200G MG,477.0,15502.5,4483.8,28.92,BAJAR ITEM,Others,102
103,18445,PAPER BAG RS.20 -1PCS,473.0,8514.0,2838.0,33.33,BEST MARKETING,Accessories,103
104,35641,SELVABALAJI KARPOORAM 40GM,473.0,23177.0,7709.9,33.27,RSM POOJA ITEMS,Others,104
105,3228,NAGA SAMBA RAVA-500KGS,472.0,42140.16,7943.76,18.85,J.S.AGECIES,Others,105
106,66249,SURF EXCEL BIG BAR RS 33,472.0,14952.96,750.48,5.02,AMMAN ENTERPRISE,Others,106
107,1940,SAKTHI TURMERIC POWDER-50GMS,471.0,10147.6,4613.35,45.46,SUNSEENU MARKETING,Spices,107
108,12241,GRAM DHALL 1KGMG,467.0,53705.0,13986.65,26.04,BAJAR ITEM,Others,108
109,60521,VIM BAR 300GM,465.0,12950.4,459.12,3.55,AMMAN ENTERPRISE,Others,109
110,18286,PITAMBARI SHINING POWDER 150G,459.0,19828.8,5360.26,27.03,A.S AGENCIES,Others,110
111,35677,PANASONIC AAA BATTERY,457.0,6813.9,3157.9,46.34,SRI VARSHA ENTERPRISES.,Electronics - Small,111
112,13727,HAIR CLIP-18RS,453.0,8154.0,3624.0,44.44,GAYATHRI JEWELLERS,Others,112
113,63933,OREO ORIGINAL RS.10 POKO,451.0,4329.6,230.01,5.31,SAKTHI AGENCIES MT,Others,113
114,43479,NESCAFE SUNRISE,448.0,833.94,40.32,4.83,GURU MARKETING,Others,114
115,12487,DHANIYA-200GM MG,443.0,13068.5,3069.99,23.49,BAJAR ITEM,Others,115
116,12135,GREEN PEAS 200GM,437.0,14202.5,4107.8,28.92,BAJAR ITEM,Frozen Foods,116
117,5171,MILKY MIST PANEER-200GMS,433.0,53692.0,8244.32,15.35,CHENNIMALAI AGENCIES,Dairy - Milk,117
118,12912,KPK ELANTHA VADAI,431.0,10344.0,3448.0,33.33,GUHAN AGENCY,Others,118
120,1712,AACHI TURMERIC POWDER-50GMS,424.0,8437.6,3561.6,42.21,AMMAN AGENCIES,Spices,120
121,54675,KITCHEN TOWEL SMALL,416.0,11648.0,5096.0,43.75,BAJAR ITEM,Others,121
122,50432,PANASONIC AA BATTERY-16RS,416.0,6058.8,2730.8,45.07,SRI VARSHA ENTERPRISES.,Electronics - Small,122
